Name,Calories,Carbohydrates
100% Bran,70,5
100% Natural Bran,120,8
All-Bran,70,7
All-Bran with Extra Fiber,50,8
Almond Delight,110,14
Apple Cinnamon Cheerios,110,10.5
Apple Jacks,110,11
Basic 4,130,18
Bran Chex,90,15
Bran Flakes,90,13
Cap'n'Crunch,120,12
Cheerios,110,17
Cinnamon Toast Crunch,120,13
Clusters,110,13
Cocoa Puffs,110,12
Corn Chex,110,22
Corn Flakes,100,21
Corn Pops,110,13
Count Chocula,110,12
Cracklin' Oat Bran,110,10
Cream of Wheat (Quick),100,21
Crispix,110,21
Crispy Wheat & Raisins,100,11
Double Chex,100,18
Froot Loops,110,11
Frosted Flakes,110,14
Frosted Mini-Wheats,100,14
Fruit & Fibre Dates; Walnuts; and Oats,120,12
Fruitful Bran,120,14
Fruity Pebbles,110,13
Golden Crisp,100,11
Golden Grahams,110,15
Grape Nuts Flakes,100,15
Grape-Nuts,110,17
Great Grains Pecan,120,13
Honey Graham Ohs,120,12
Honey Nut Cheerios,110,11.5
Honey-comb,110,14
Just Right Crunchy  Nuggets,110,17
Just Right Fruit & Nut,140,20
Kix,110,21
Life,100,12
Lucky Charms,110,12
Maypo,100,16
Muesli Raisins; Dates; & Almonds,150,16
Muesli Raisins; Peaches; & Pecans,150,16
Mueslix Crispy Blend,160,17
Multi-Grain Cheerios,100,15
Nut&Honey Crunch,120,15
Nutri-Grain Almond-Raisin,140,21
Nutri-grain Wheat,90,18
Oatmeal Raisin Crisp,130,13.5
Post Nat. Raisin Bran,120,11
Product 19,100,20
Puffed Rice,50,13
Puffed Wheat,50,10
Quaker Oat Squares,100,14
Quaker Oatmeal,100,-1
Raisin Bran,120,14
Raisin Nut Bran,100,10.5
Raisin Squares,90,15
Rice Chex,110,23
Rice Krispies,110,22
Shredded Wheat,80,16
Shredded Wheat 'n'Bran,90,19
Shredded Wheat spoon size,90,20
Smacks,110,9
Special K,110,16
Strawberry Fruit Wheats,90,15
Total Corn Flakes,110,21
Total Raisin Bran,140,15
Total Whole Grain,100,16
Triples,110,21
Trix,110,13
Wheat Chex,100,17
Wheaties,100,17
Wheaties Honey Gold,110,16
